,source,target,delta_time,line_name
7,pl. Wróblewskiego,GALERIA DOMINIKAŃSKA,3.0,16
8,GALERIA DOMINIKAŃSKA,Wzgórze Partyzantów,2.0,16
9,Wzgórze Partyzantów,DWORZEC GŁÓWNY,2.0,16
10,DWORZEC GŁÓWNY,DWORZEC GŁÓWNY,2.0,16
11,DWORZEC GŁÓWNY,DWORZEC AUTOBUSOWY,3.0,16
12,DWORZEC AUTOBUSOWY,Joannitów,2.0,16
13,Joannitów,Gajowa,1.0,16
14,Gajowa,Prudnicka,2.0,16
15,Prudnicka,Kamienna,2.0,16
16,Kamienna,Bardzka,1.0,16
17,Bardzka,Nyska,1.0,16
18,Nyska,Tarnogajska,1.0,16
19,Tarnogajska,Klimasa,2.0,16
20,Klimasa,TARNOGAJ,1.0,16
1,POŚWIĘTNE,Wołowska,1.0,74
2,Wołowska,Kępińska,1.0,74
3,Kępińska,Kamieńskiego,2.0,74
4,Kamieńskiego,Broniewskiego,2.0,74
5,Broniewskiego,Trzebnicka,3.0,74
6,Trzebnicka,DWORZEC NADODRZE,2.0,74
7,DWORZEC NADODRZE,Paulińska,2.0,74
8,Paulińska,Dubois,3.0,74
9,Dubois,Pomorska,2.0,74
10,Pomorska,Dmowskiego,2.0,74
11,Dmowskiego,PL. JANA PAWŁA II,2.0,74
12,PL. JANA PAWŁA II,pl. Orląt Lwowskich,3.0,74
13,pl. Orląt Lwowskich,pl. Legionów,2.0,74
14,pl. Legionów,Kolejowa,1.0,74
15,Kolejowa,Grabiszyńska,1.0,74
16,Grabiszyńska,Pereca,2.0,74
17,Pereca,Stalowa,2.0,74
18,Stalowa,pl. Srebrny,1.0,74
19,pl. Srebrny,Bzowa (Centrum Zajezdnia),1.0,74
20,Bzowa (Centrum Zajezdnia),Hutmen,1.0,74
21,Hutmen,FAT,2.0,74
22,FAT,FAT,1.0,74
23,FAT,Aleja Pracy,2.0,74
24,Aleja Pracy,Ojca Beyzyma,1.0,74
25,Ojca Beyzyma,Mielecka,2.0,74
26,Mielecka,Gajowicka,1.0,74
27,Gajowicka,Hallera,2.0,74
28,Hallera,Jastrzębia,1.0,74
29,Jastrzębia,Orla,1.0,74
30,Orla,KRZYKI,3.0,74
1,SĘPOLNO,Godebskiego (AWF Wrocław),1.0,17
2,Godebskiego (AWF Wrocław),8 Maja,1.0,17
3,8 Maja,Stadion Olimpijski,1.0,17
4,Stadion Olimpijski,Karłowicza,1.0,17
5,Karłowicza,Chopina,1.0,17
6,Chopina,Kochanowskiego,2.0,17
7,Kochanowskiego,Grunwaldzka,1.0,17
8,Grunwaldzka,Piastowska,1.0,17
9,Piastowska,Górnickiego,2.0,17
10,Górnickiego,Ogród Botaniczny,2.0,17
11,Ogród Botaniczny,pl. Bema,2.0,17
12,pl. Bema,Hala Targowa,2.0,17
13,Hala Targowa,pl. Nowy Targ,1.0,17
14,pl. Nowy Targ,GALERIA DOMINIKAŃSKA,2.0,17
15,GALERIA DOMINIKAŃSKA,Park Staromiejski,2.0,17
16,Park Staromiejski,Opera,2.0,17
17,Opera,Arkady (Capitol),4.0,17
18,Arkady (Capitol),Zaolziańska,2.0,17
19,Zaolziańska,Wielka,1.0,17
20,Wielka,Rondo,2.0,17
21,Rondo,Sztabowa,1.0,17
22,Sztabowa,Hallera,2.0,17
23,Hallera,Jastrzębia,1.0,17
24,Jastrzębia,Orla,1.0,17
25,Orla,KRZYKI,3.0,17
26,KRZYKI,Radio i Telewizja,1.0,17
